Current Time = 14:59:38
Available Items = 27
________________________________Current Time = 05:24:00
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 06:17:55
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 07:13:01
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 08:29:02
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 09:48:13
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 10:53:57
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 11:52:17
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 12:54:18
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 14:07:47
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 15:08:12
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 16:22:11
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 17:29:22
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 18:31:09
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 19:23:10
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 20:39:34
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 21:34:14
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 22:42:34
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 23:35:08
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 10:14:32
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 11:13:32
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 12:16:42
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 13:30:04
Total Items = 47
Sold Items = 20
Available Items = 27
________________________________Current Time = 14:27:28
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 15:24:38
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 16:16:02
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 17:10:18
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 18:11:54
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 19:07:00
Total Items = 76
Sold Items = 51
Available Items = 25
________________________________Current Time = 20:14:09
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 21:16:27
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 22:22:18
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 23:31:16
Total Items = 75
Sold Items = 51
Available Items = 24
________________________________Current Time = 00:27:49
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 01:17:35
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 02:33:38
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 03:23:12
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 04:42:25
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 05:41:12
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 06:32:38
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 07:35:25
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 08:28:31
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 09:39:21
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 10:52:52
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 12:58:08
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 14:00:46
Total Items = 103
Sold Items = 51
Available Items = 52
________________________________Current Time = 15:17:42
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 16:08:53
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 17:09:04
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 18:07:55
Total Items = 77
Sold Items = 51
Available Items = 26
________________________________Current Time = 19:16:13
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 20:18:16
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 21:19:34
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 22:35:54
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 23:55:04
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 00:46:52
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 01:38:16
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 02:44:28
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 03:36:13
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 04:36:11
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 05:28:17
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 06:44:39
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 07:45:57
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 09:04:49
Total Items = 79
Sold Items = 51
Available Items = 28
________________________________Current Time = 10:24:21
Total Items = 78
Sold Items = 51
Available Items = 27
________________________________Current Time = 11:30:25
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 12:33:25
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 13:39:55
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 14:41:34
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 15:51:56
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 16:58:45
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 20:30:32
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 21:39:16
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 22:43:40
Total Items = 76
Sold Items = 52
Available Items = 24
________________________________Current Time = 23:45:08
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 01:00:35
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 02:00:22
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 02:54:29
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 03:56:46
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 04:56:02
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 06:13:43
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 07:32:03
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 08:39:30
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 09:29:14
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 10:34:11
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 11:38:35
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 12:33:21
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 13:39:45
Total Items = 79
Sold Items = 52
Available Items = 27
________________________________Current Time = 14:50:29
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 16:10:07
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 17:10:19
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 18:01:31
Total Items = 76
Sold Items = 52
Available Items = 24
________________________________Current Time = 19:48:29
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 20:39:39
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 21:43:03
Total Items = 80
Sold Items = 52
Available Items = 28
________________________________Current Time = 22:44:58
Total Items = 78
Sold Items = 53
Available Items = 25
________________________________Current Time = 22:52:27
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 23:46:11
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 00:52:03
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 01:48:13
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 03:03:50
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 04:15:47
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 05:18:51
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 06:33:38
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 07:49:04
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 08:57:00
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 09:51:22
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 10:44:15
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 12:03:12
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 13:12:46
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 14:29:02
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 15:27:48
Total Items = 0
Sold Items = 0
Available Items = 0
________________________________Current Time = 16:19:40
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 17:28:28
Total Items = 80
Sold Items = 53
Available Items = 27
________________________________Current Time = 18:32:07
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 19:23:53
Total Items = 77
Sold Items = 53
Available Items = 24
________________________________Current Time = 20:30:20
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 21:25:55
Total Items = 77
Sold Items = 53
Available Items = 24
________________________________Current Time = 22:26:35
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 23:29:50
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 00:36:51
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 01:34:06
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 02:50:15
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 04:03:18
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 05:21:04
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 06:20:28
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 07:22:24
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 08:30:33
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 09:21:44
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 10:17:39
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 11:34:51
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 12:30:47
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 13:22:07
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 16:34:55
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 17:43:10
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 18:41:16
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 19:58:42
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 21:12:47
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 22:11:18
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 23:18:13
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 00:18:29
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 01:24:51
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 02:43:14
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 03:59:25
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 05:16:04
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 06:32:16
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 07:34:57
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 08:31:36
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 09:41:21
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 10:50:57
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 11:50:14
Total Items = 81
Sold Items = 53
Available Items = 28
________________________________Current Time = 13:13:13
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:21:04
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:23:46
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:15:47
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:14:03
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 19:09:31
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:19:35
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 21:29:57
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:38:41
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 23:56:41
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 01:14:10
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:13:23
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 03:24:01
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:26:56
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:33:53
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:48:50
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 07:51:02
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 08:54:08
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:22:47
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 12:34:18
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:04:32
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:07:15
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:13:13
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:33:22
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:34:58
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 19:45:31
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:38:26
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 21:49:18
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:47:49
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 23:38:25
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 00:30:43
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 01:34:50
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:28:14
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 03:21:29
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:22:38
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:36:57
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:50:29
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 08:03:28
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 08:56:52
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 10:07:42
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 12:12:27
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 13:18:32
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:26:43
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:43:22
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:42:16
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:49:47
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:46:55
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:03:15
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 21:09:45
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:05:30
Total Items = 82
Sold Items = 53
Available Items = 29
________________________________Current Time = 23:07:30
Total Items = 82
Sold Items = 53
Available Items = 29
________________________________Current Time = 23:57:46
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 01:03:27
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:00:42
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:57:17
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:10:30
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:18:32
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:26:33
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 07:44:40
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 08:41:03
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 09:56:09
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:01:48
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:59:20
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 13:18:50
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:31:47
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:22:45
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:24:47
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:17:11
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:27:19
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 19:39:44
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:31:14
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 21:34:44
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:34:58
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 23:34:34
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 00:27:13
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 01:35:03
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:26:13
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 03:26:40
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:43:19
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:47:37
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:43:11
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 07:57:04
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 09:05:19
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:35:15
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 12:30:18
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 13:27:02
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:18:54
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:10:39
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:15:52
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:29:06
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:28:37
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 19:42:25
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:59:10
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:16:15
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 23:29:23
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 00:45:55
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:00:54
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 03:08:37
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:20:21
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:21:48
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:13:40
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 07:16:08
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 08:15:04
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 09:05:55
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 10:25:17
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:28:58
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 12:31:37
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 13:35:26
Total Items = 82
Sold Items = 53
Available Items = 29
________________________________Current Time = 14:42:04
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:48:34
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:00:44
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:51:43
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 18:45:43
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:04:14
Total Items = 83
Sold Items = 53
Available Items = 30
